date,close
2024-12-23,151.91116255766286
2024-12-24,146.9182938759749
2024-12-25,147.48161069748247
2024-12-26,149.23118178706787
2024-12-27,145.96618354912655
2024-12-30,148.51421459327827
2024-12-31,149.31284177918144
2025-01-01,148.42751835299907
2025-01-02,149.880880239179
2025-01-03,155.03084616745883
2025-01-06,155.5002786124745
2025-01-07,156.12590425096403
2025-01-08,155.09696998496545
2025-01-09,153.16637477601938
2025-01-10,155.1200175914537
2025-01-13,153.17461752471002
2025-01-14,153.38500187517388
2025-01-15,152.33203505022004
2025-01-16,153.47219423479436
2025-01-17,154.2863537245356
2025-01-20,156.7338134532996
2025-01-21,155.5817813705922
2025-01-22,154.99864155730015
2025-01-23,152.76953545448984
2025-01-24,151.79724919091535
2025-01-27,152.70188602011143
2025-01-28,154.48160042777997
2025-01-29,152.39108128083888
2025-01-30,154.42460140201996
2025-01-31,157.6110863223122
2025-02-03,158.6357985115186
2025-02-04,163.14929428659536
2025-02-05,161.3045916484763
2025-02-06,158.34145524605577
2025-02-07,154.16428039232264
2025-02-10,157.67007859717668
2025-02-11,159.26498788778542
2025-02-12,159.17997700506223
2025-02-13,159.89621199065968
2025-02-14,157.24475932475707
2025-02-17,163.06065797359793
2025-02-18,163.4256395353451
2025-02-19,163.74283594125785
2025-02-20,165.5745450704705
2025-02-21,166.8188607047842
2025-02-24,167.42912753089934
2025-02-25,165.49412954299854
2025-02-26,166.7141564624308
2025-02-27,171.47057260494154
2025-02-28,174.98251296234844
2025-03-03,179.21670470944764
2025-03-04,177.89619388697338
2025-03-05,175.30885878049642
2025-03-06,175.03067801694783
2025-03-07,175.22949075805778
2025-03-10,178.15807894388695
2025-03-11,173.68863266091307
2025-03-12,177.725721804309
2025-03-13,177.35780850346427
2025-03-14,176.275355480153
2025-03-17,173.65210220881696
2025-03-18,169.39365774062296
2025-03-19,171.53607398037207
2025-03-20,171.77618494622197
2025-03-21,168.50394937039616
2025-03-24,165.28111223763003
2025-03-25,164.49821354273556
2025-03-26,168.66582889591552
2025-03-27,168.059665787805
2025-03-28,164.32081815255648
2025-03-31,163.76440387781346
2025-04-01,163.14359700662948
2025-04-02,156.59284327100212
2025-04-03,156.51228831113775
2025-04-04,156.01708062103583
2025-04-07,157.69318701344173
2025-04-08,162.11401165844367
2025-04-09,164.9021255069527
2025-04-10,164.2864913956457
2025-04-11,161.60896845528117
2025-04-14,167.89562149483015
2025-04-15,168.0951279180208
2025-04-16,168.18067814798493
2025-04-17,168.17027174877126
2025-04-18,168.7204023510102
2025-04-21,168.40567026996501
2025-04-22,167.0070729493898
2025-04-23,165.6872354048832
2025-04-24,165.6555395936163
2025-04-25,164.35491640013385
2025-04-28,162.64682723978248
2025-04-29,162.95527937080183
2025-04-30,162.38091769914297
2025-05-01,166.09292839993972
2025-05-02,159.5381461998224
2025-05-05,162.198062339484
2025-05-06,165.2784108141814
2025-05-07,160.1876946982747
2025-05-08,159.41233597122275
2025-05-09,158.57197583016068
2025-05-12,155.27166876637776
2025-05-13,153.50665684085914
2025-05-14,150.99549705982633
2025-05-15,155.00956990776416
2025-05-16,157.23165935814313
2025-05-19,160.27775961921904
2025-05-20,162.0608626711742
2025-05-21,159.36485436931733
2025-05-22,158.15881238788666
2025-05-23,159.36724352285276
2025-05-26,156.49354659387365
2025-05-27,158.2141894536549
2025-05-28,157.69131038937027
2025-05-29,156.8520280179316
2025-05-30,158.57181631912118
2025-06-02,159.67610246741125
2025-06-03,158.85944024094255
2025-06-04,161.66965532727113
2025-06-05,159.09652919046889
2025-06-06,160.61415640827084
2025-06-09,162.0912475283925
2025-06-10,161.38725337490536
2025-06-11,162.2251752413355
2025-06-12,159.2294110062691
2025-06-13,161.4841639999039
2025-06-16,161.08472774522448
2025-06-17,159.87001273185098
2025-06-18,162.43355051002615
2025-06-19,160.7661448786662
2025-06-20,157.41788132972218
2025-06-23,153.78948769643856
2025-06-24,155.2335939420933
2025-06-25,152.29867926762176
